BRAND,PRODUCT NAME,PRODUCT DESCRIPTION,SKU CODE,VARIANT NAME,VARIANT DESCRIPTION,HSN,GST %,Sale Price,Total Price(Sale Price + GST),MRP,CATEGORY
CKA,Apple Cider Vinegar,"",000452,,"",-,0.0,310.0,310.0,0.0,Organic
mathru enterprises,Sesame Peanut Bar Pro,Sesame Peanut Bar Pro,8904117901682,,"",-,0.0,20.0,20.0,0.0,Natural Health Food
"",Green Dantu,"",SSTBS0031,,"",-,0.0,30.0,30.0,0.0,Vegetables &amp; Fruits
Desi Utthana,Sprovita- Sproted Horsegram Powder,Sprovita- Sproted Horsegram Powder,8905694500527,,"",-,0.0,40.0,40.0,0.0,Natural Health Food
Maa Gou Prodcuts,Jaggery Cake Maa Gou,"",000633,,"",-,0.0,75.0,75.0,0.0,Organic
Desi Utthana,Premium Green Tea - 18 Herbs,Premium Green Tea - 18 Herbs,8906046410013,,"",-,0.0,12.0,12.0,0.0,Natural Health Food
ForGreen,Healthy Cookies - Finger Millet,Healthy Cookies - Finger Millet,8906062600375,,"",-,0.0,40.0,40.0,0.0,Natural Health Food
Maa Gou Prodcuts,Toor Dal Maa Gou 10 Kg,"",000634,,"",-,0.0,160.0,160.0,0.0,Organic
ForGreen,Healthy Cookies - Kodo Millet,Healthy Cookies - Kodo Millet,8906062600399,,"",-,0.0,40.0,40.0,0.0,Natural Health Food
Desi Utthana,Wheat Daliya ,Wheat Daliya 500 Gms,000082,,"",-,0.0,38.0,38.0,0.0,Millets
Maa Gou Prodcuts,Samrudhi Maa Gou,"",000635,,"",-,0.0,95.0,95.0,0.0,Organic
Kaulige,Foxtail Millet Rice,"Foxtail Millet Rice Kaulige
",000274,,"",-,0.0,80.0,80.0,0.0,Millets
Maa Gou Prodcuts,Raw Rice Maa Gou 2kg,"",000637,,"",-,0.0,120.0,120.0,0.0,Organic
ForGreen,Jowar Millet Flakes,Jowar Millet Flakes,000805,,"",-,0.0,69.0,69.0,0.0,Millets
ForGreen,Healthy Cookies - Little Millet,Healthy Cookies - Little Millet,8906062600405,,"",-,0.0,40.0,40.0,0.0,Natural Health Food
Timbaktu Organic,Foxtail Millet Rice,"Foxtail Millet Rice
",2304200802,,"",-,0.0,53.0,53.0,0.0,Millets
G10,Jaggery Haralu G10 500 gms,"",8906076661546,,"",-,0.0,84.0,84.0,0.0,Organic
ForGreen,Healthy Cookies - 12 Grains With Organic Jaggery,Healthy Cookies - 12 Grains With Organic Jaggery,8906062600450,,"",-,0.0,50.0,50.0,0.0,Natural Health Food
"","Little Millet  Rice ( Sama, Same )","Little Millet  Rice ( Sama, Same )
",2304200807,,"",-,0.0,56.0,56.0,0.0,Millets
