BRAND,PRODUCT NAME,PRODUCT DESCRIPTION,SKU CODE,VARIANT NAME,VARIANT DESCRIPTION,HSN,GST %,Sale Price,Total Price(Sale Price + GST),MRP,CATEGORY
ForGreen,Bhuira Bitter Orange Marmalade,Bhuira Bitter Orange Marmalade,BJ1258045,,"",-,0.0,155.0,155.0,0.0,Home Needs
Desi Utthana,Areca Tea,Areca Tea ,8908007192099,,"",-,0.0,75.0,75.0,0.0,Home Needs
Happy shoppee akshaya's,Akshaya Red Sandal Soap(Premimum),Akshaya Red Sandal Soap(Premimum),8908006414208,,"",-,0.0,75.0,75.0,0.0,Personal Care
Happy shoppee akshaya's,Akshaya Red Sandal Soap,Akshaya Red Sandal Soap,8908006414192,,"",-,0.0,45.0,45.0,0.0,Personal Care
Happy shoppee akshaya's,Akshaya Tulasi Ark,Akshaya Tulasi Ark,8908006414093,,"",-,0.0,50.0,50.0,0.0,Personal Care
Happy shoppee akshaya's,Akshaya Ayurvedic Shampoo,Akshaya Ayurvedic Shampoo,8908006414062,,"",-,0.0,120.0,120.0,0.0,Personal Care
Happy shoppee akshaya's,Akshaya Pancha Gavya Soap,Akshaya Pancha Gavya Soap(Premium),8908006414024,,"",-,0.0,75.0,75.0,0.0,Personal Care
Happy shoppee akshaya's,Akshaya Multani Matti Soap,Akshaya Multani Matti Soap,8908006414017,,"",-,0.0,45.0,45.0,0.0,Personal Care
Happy shoppee akshaya's,Akshaya Pancha Gavya Soap,Akshaya Pancha Gavya Soap,8908006414000,,"",-,0.0,45.0,45.0,0.0,Personal Care
Maa Gou Prodcuts,Nirmal Ganga Neem Tulasi Soap,Nirmal Ganga Neem Tulasi Soap,8908006136339,,"",-,0.0,60.0,60.0,0.0,Personal Care
Maa Gou Prodcuts,Mosquito Coil 8 Hours,Mosquito Coil 8 Hours,8908006136254,,"",-,0.0,30.0,30.0,0.0,Personal Care
AVS,Coco Life Orgnic Virgin Coconut Oil,Coco Life Orgnic Virgin Coconut Oil,000001,,"",-,0.0,190.0,190.0,0.0,Personal Care
AVS,Coco Life Orgnic Virgin Coconut Oil,Coco Life Orgnic Virgin Coconut Oil,000002,,"",-,0.0,390.0,390.0,0.0,Personal Care
Desi Utthana,Heena Shikakai Hair Wash,Heena Shikakai Hair Wash,000018,,"",-,0.0,95.0,95.0,0.0,Personal Care
Desi Utthana,Fruit On Daily Hair Solution,Fruit On Daily Hair Solution,000020,,"",-,0.0,105.0,105.0,0.0,Personal Care
Desi Utthana,Aloe Vera & Neem Hair Wash,Aloe Vera & Neem Hair Wash,000021,,"",-,0.0,95.0,95.0,0.0,Natural Health Food
Desi Utthana,Bhringraj & Shikaki  Shampoo,Bhringraj & Shikaki  Shampoo,000022,,"",-,0.0,95.0,95.0,0.0,Natural Health Food
Desi Utthana,Shikakai Powder,Shikakai Powder,000025,,"",-,0.0,37.0,37.0,0.0,Natural Health Food
Evermore,Bubble Nut Wash POWDER -250 GMS,Bubble Nut Wash POWDER -250 GMS,000045,,"",-,0.0,170.0,170.0,0.0,Natural Health Food
Desi Utthana,Ambi Haldi Powder,Ambi Haldi Powder,000163,,"",-,0.0,60.0,60.0,0.0,Personal Care
Desi Utthana,Papaya With Multani Powder,Papaya With Multani Powder,000198,,"",-,0.0,34.0,34.0,0.0,Personal Care
Desi Utthana,Chandan With Multani Powder,Chandan With Multani Powder,000203,,"",-,0.0,34.0,34.0,0.0,Personal Care
Maa Gou Prodcuts,Neem Tulasi Soap,Neem Tulasi Soap,000279,,"",-,0.0,60.0,60.0,0.0,Personal Care
Dragon Fly,Red Dhantu Dragon Fly,Red Dhantu Dragon Fly,000616,,"",-,0.0,30.0,30.0,0.0,Personal Care
Upadhya,Trichup Hair Pack,Trichup Hair Pack,8904023003333,,"",-,0.0,30.0,30.0,0.0,Personal Care
Upadhya,Trichup Henna Powder,Trichup Henna Powder,8904023007065,,"",-,0.0,50.0,50.0,0.0,Personal Care
Upadhya,Protecting Sunscreen Cream,Protecting Sunscreen Cream,8906038781008,,"",-,0.0,80.0,80.0,0.0,Personal Care
Upadhya,Anti - Acne Face Wash,Anti - Acne Face Wash,8906038781800,,"",-,0.0,60.0,60.0,0.0,Personal Care
Upadhya,Walnut And Org Face Scrub,Walnut And Org Face Scrub,8906038781831,,"",-,0.0,60.0,60.0,0.0,Personal Care
Upadhya,Neem Face Wash,Neem Face Wash,8906038782913,,"",-,0.0,65.0,65.0,0.0,Personal Care
AVS,Cocolife Vergin Coconut Oil Glass,Cocolife Vergin Coconut Oil Glass,000289,,"",-,0.0,260.0,260.0,0.0,Home Needs
khandige,sesame oil,Sesame Oil 175Ml,000315,,"",-,0.0,162.0,162.0,0.0,Home Needs
Maa Gou Prodcuts,Phenyl Maa Gou,Phenyl Maa Gou,000557,,"",-,0.0,65.0,65.0,0.0,Home Needs
Desi Utthana,Toor Dal ,Toor Dal ,000621,,"",-,0.0,89.0,89.0,0.0,Home Needs
Desi Utthana,Bucket Jaggery,Bucket Jaggery,000622,,"",-,0.0,40.0,40.0,0.0,Home Needs
Ekatra seed oils,Clove Oil 15Ml Seed,Clove Oil 15Ml Seed,000623,,"",-,0.0,185.0,185.0,0.0,Home Needs
Ekatra seed oils,Lemongrass Oil 50Ml Seed,Lemongrass Oil 50Ml Seed,000624,,"",-,0.0,350.0,350.0,0.0,Home Needs
Ekatra seed oils,Sesame Oil 1Ltr Seed,Sesame Oil 1Ltr Seed,000625,,"",-,0.0,425.0,425.0,0.0,Home Needs
Ekatra seed oils,Sunflower Oil 1Ltr Seed,Sunflower Oil 1Ltr Seed,000626,,"",-,0.0,325.0,325.0,0.0,Home Needs
Timbaktu Organic,Groundnut Oil - Cold Pressed,Groundnut Oil - Cold Pressed,2304200845,,"",-,0.0,133.0,133.0,0.0,Home Needs
Timbaktu Organic,Groundnut Oil - Cold Pressed,Groundnut Oil - Cold Pressed,2304200846,,"",-,0.0,265.0,265.0,0.0,Home Needs
Ekatra seed oils,Groundnut Oil 1Ltr Seed,Groundnut Oil 1Ltr Seed,650726642963,,"",-,0.0,310.0,310.0,0.0,Home Needs
Ekatra seed oils,Flaxseed Oil 50Ml Seed,Flaxseed Oil 50Ml Seed,650726642994,,"",-,0.0,165.0,165.0,0.0,Home Needs
Ekatra seed oils,Flaxseed Oil 100Ml Seed ,Flaxseed Oil 100Ml Seed ,650726643007,,"",-,0.0,200.0,200.0,0.0,Home Needs
